img_id,path,img_type,scenario,incompatible_ids,_abs_path,_serve_path,_img_source_idx,batch_id,score_start,uncertainty_start,n_answers_start,active_batch_start,score_walk-preference,uncertainty_walk-preference,n_answers_walk-preference,active_batch_walk-preference,score_bike-preference,uncertainty_bike-preference,n_answers_bike-preference,active_batch_bike-preference,score_general-preference,uncertainty_general-preference,n_answers_general-preference,active_batch_general-preference,score_stay-preference,uncertainty_stay-preference,n_answers_stay-preference,active_batch_stay-preference
w38,Walk/Anlagenring_20260610_191200939.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_191200939.jpg,/images/0/Walk/Anlagenring_20260610_191200939.jpg,0,3,5.0,0.5,0,1,7.04851642375951,0.32388795460191744,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w39,Walk/Anlagenring_20260610_191317880.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_191317880.jpg,/images/0/Walk/Anlagenring_20260610_191317880.jpg,0,3,5.0,0.5,0,1,7.0598222855101955,0.2646668359699543,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w40,Walk/Anlagenring_20260610_191424555.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_191424555.jpg,/images/0/Walk/Anlagenring_20260610_191424555.jpg,0,4,5.0,0.5,0,1,5.204723299423838,0.36084211482724027,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w41,Walk/Anlagenring_20260610_192139719.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_192139719.jpg,/images/0/Walk/Anlagenring_20260610_192139719.jpg,0,5,5.0,0.5,0,1,4.650381549715878,0.34832156462897157,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w42,Walk/Anlagenring_20260610_192411849.jpg,walk,Anlagenring,w43,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_192411849.jpg,/images/0/Walk/Anlagenring_20260610_192411849.jpg,0,4,5.0,0.5,0,1,6.2473710831503,0.2924774380496841,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w43,Walk/Anlagenring_20260610_192649201.jpg,walk,Anlagenring,w42,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_192649201.jpg,/images/0/Walk/Anlagenring_20260610_192649201.jpg,0,5,5.0,0.5,0,1,6.3842511305611005,0.3731299603747956,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w44,Walk/Anlagenring_20260610_192950472.jpg,walk,Anlagenring,w45,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_192950472.jpg,/images/0/Walk/Anlagenring_20260610_192950472.jpg,0,1,5.0,0.5,0,1,6.1709508755434275,0.274474058824566,7,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w45,Walk/Anlagenring_20260610_193219468.jpg,walk,Anlagenring,w44,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_193219468.jpg,/images/0/Walk/Anlagenring_20260610_193219468.jpg,0,3,5.0,0.5,0,1,4.188637477973975,0.31656772043372244,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w46,Walk/Anlagenring_20260610_193319133.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_193319133.jpg,/images/0/Walk/Anlagenring_20260610_193319133.jpg,0,3,5.0,0.5,0,1,6.1823629089533325,0.2743247606707602,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w47,Walk/Anlagenring_20260610_193526471.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_193526471.jpg,/images/0/Walk/Anlagenring_20260610_193526471.jpg,0,5,5.0,0.5,0,1,6.749548719104842,0.3031201143720385,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
